id_x;author_id;text;created_at_x;conversation_id;lang;edit_history_tweet_ids;entities.urls;entities.annotations;public_metrics.retweet_count;public_metrics.reply_count;public_metrics.like_count;public_metrics.quote_count;public_metrics.bookmark_count;public_metrics.impression_count;referenced_tweets;entities.mentions;entities.hashtags;geo.place_id;geo.coordinates.type;geo.coordinates.coordinates;withheld.copyright;withheld.country_codes_x;withheld.scope_x;entities.cashtags;name;username;description;id_y;verified;location;created_at_y;public_metrics.followers_count;public_metrics.following_count;public_metrics.tweet_count;public_metrics.listed_count;withheld.country_codes_y;withheld.scope_y;clean_text;sentiment polarity
9,51E+17;86412630;ChatBot: A evolução no atendimento ao cliente https://t.co/H6KgTD7iXq;2018-01-10 19:05:17+00:00;9,51E+17;pt;['951168081396674563'];[{'start': 46, 'end': 69, 'url': 'https://t.co/H6KgTD7iXq', 'expanded_url': 'https://goo.gl/fb/M1QTfA', 'display_url': 'goo.gl/fb/M1QTfA'}];[{'start': 0, 'end': 6, 'probability': 0.9592, 'type': 'Other', 'normalized_text': 'ChatBot'}];0;0;0;0;0;0;;;;;;;;;;;alanderson.ass;alanderson_ass;Técnico Suporte TI - AssInfo;86412630;False;Baldim/MG;2009-10-30T22:45:29.000Z;281;654;67924;13;;;chatbot a evolução no atendimento ao cliente;positivo
9,52E+17;86412630;Ellevo lança chatbot e app em nova versão da plataforma de atendimento https://t.co/6EBNluePvm;2018-01-11 22:22:45+00:00;9,52E+17;pt;['951580165800374274'];[{'start': 71, 'end': 94, 'url': 'https://t.co/6EBNluePvm', 'expanded_url': 'https://goo.gl/fb/ePA9dv', 'display_url': 'goo.gl/fb/ePA9dv'}];[{'start': 0, 'end': 5, 'probability': 0.3914, 'type': 'Person', 'normalized_text': 'Ellevo'}];0;0;0;0;0;0;;;;;;;;;;;alanderson.ass;alanderson_ass;Técnico Suporte TI - AssInfo;86412630;False;Baldim/MG;2009-10-30T22:45:29.000Z;281;654;67924;13;;;ellevo lança chatbot e app em nova versão da plataforma de atendimento;neutro
9,54E+17;92835811;Posso parecer jurássico, mas minha intuição analógica diz que o MUNDO deveria regular fortemente o avanço da tecnologia de reconhecimento facial por aplicativos e robôs. É uma armadilha claramente distópica. Só acho.;2018-01-17 18:41:34+00:00;9,54E+17;pt;['953698828636614658'];;;1;1;6;0;0;0;;;;;;;;;;;Marco Antonio Araujo;OProvocador;nada, como um dia após o outro.;92835811;False;São Paulo, Brasil;2009-11-26T21:08:52.000Z;5094;375;5557;115;;;posso parecer jurássico mas minha intuição analógica diz que o mundo deveria regular fortemente o avanço da tecnologia de reconhecimento facial por aplicativos e robôs é uma armadilha claramente distópica só acho;negativo
9,52E+17;191438383;#Chatbots para Negócios - Monte seu chatbot em 2 horas ou menos sem precisar saber programar #MarketingDigital #Facebook https://t.co/4gPovFwYf7 https://t.co/J5EWmOaybA;2018-01-11 22:00:57+00:00;9,52E+17;pt;['951574680300814343'];[{'start': 121, 'end': 144, 'url': 'https://t.co/4gPovFwYf7', 'expanded_url': 'http://bit.ly/2EgxzGD', 'display_url': 'bit.ly/2EgxzGD'}, {'start': 145, 'end': 168, 'url': 'https://t.co/J5EWmOaybA', 'expanded_url': 'https://twitter.com/cristianethiel/status/951574680300814343/video/1', 'display_url': 'pic.twitter.com/J5EWmOaybA', 'media_key': '7_951574650999357441'}];[{'start': 112, 'end': 119, 'probability': 0.9343, 'type': 'Other', 'normalized_text': 'Facebook'}];0;0;0;0;0;0;;;[{'start': 0, 'end': 9, 'tag': 'Chatbots'}, {'start': 93, 'end': 110, 'tag': 'MarketingDigital'}, {'start': 111, 'end': 120, 'tag': 'Facebook'}];;;;;;;;Cristiane Thiel 💛🌻;cristianethiel;✨ Séries, Filmes e Groselhas 🎯 Branding Digital & Marketing de Conteúdo no @brandingthiel;191438383;False;Greenland;2010-09-16T13:18:19.000Z;2727;2033;79529;249;;;chatbots para negócios monte seu chatbot em horas ou menos sem precisar saber programar;positivo
9,52E+17;214703852;Chineses estão desenvolvendo GPS e reconhecimento facial para galinhas https://t.co/t0S3NWjycq;2018-01-12 06:00:03+00:00;9,52E+17;pt;['951695246806700032'];[{'start': 71, 'end': 94, 'url': 'https://t.co/t0S3NWjycq', 'expanded_url': 'https://fb.me/1mAflEIfW', 'display_url': 'fb.me/1mAflEIfW'}];[{'start': 29, 'end': 31, 'probability': 0.5752, 'type': 'Organization', 'normalized_text': 'GPS'}];0;0;0;0;0;0;;;;;;;;;;;farmfor;farmfor;Conectando os agricultores do mundo inteiro através da Internet.;214703852;False;Brasil;2010-11-12T01:16:39.000Z;80;31;1617;0;;;chineses estão desenvolvendo gps e reconhecimento facial para galinhas;neutro
9,51E+17;324502422;Os #ChatBots podem entregar a seu cliente exatamente o que ele quer apenas batendo um papo com ele 😎 Acesse: 👉https://t.co/Fe1vDAQKoN https://t.co/zT40UKRFvj;2018-01-10 20:00:07+00:00;9,51E+17;pt;['951181882405867521'];[{'start': 110, 'end': 133, 'url': 'https://t.co/Fe1vDAQKoN', 'expanded_url': 'https://goo.gl/vEUaFd', 'display_url': 'goo.gl/vEUaFd'}, {'start': 134, 'end': 157, 'url': 'https://t.co/zT40UKRFvj', 'expanded_url': 'https://twitter.com/RicardoCPrates/status/951181882405867521/photo/1', 'display_url': 'pic.twitter.com/zT40UKRFvj', 'media_key': '3_951181880375857152'}];[{'start': 4, 'end': 11, 'probability': 0.682, 'type': 'Other', 'normalized_text': 'ChatBots'}];0;0;0;0;0;0;;;[{'start': 3, 'end': 12, 'tag': 'ChatBots'}];;;;;;;;Ricardo C. Prates;RicardoCPrates;Game Developer with #SeriousGames in mind #GameDev #IndieDev & #ChatBot 🤖 #AI;324502422;False;Campo Grande MS;2011-06-26T18:49:26.000Z;1613;2872;82961;129;;;os chatbots podem entregar a seu cliente exatamente o que ele quer apenas batendo um papo com ele acesse;positivo
9,52E+17;349218010;O vídeo mostra um futuro em que os drones autônomos de tamanho de palma usaram tecnologia de reconhecimento facial e explosivos a bordo para cometer massacres.;2018-01-13 20:48:14+00:00;9,52E+17;pt;['952281154492731400'];;;8;0;11;0;0;0;[{'type': 'replied_to', 'id': '952277329333678086'}];;;;;;;;;;Cleber Amaral;CleberAmaral_;Um policial federal que defende a MODERNIZAÇÃO da Segurança Pública, com implantação do CICLO COMPLETO de polícia, ENTRADA ÚNICA NA CARREIRA e MERITOCRACIA.;349218010;False;;2011-08-05T19:10:45.000Z;38221;27967;32177;77;;;o vídeo mostra um futuro em que os drones autônomos de tamanho de palma usaram tecnologia de reconhecimento facial e explosivos a bordo para cometer massacres;negativo
9,51E+17;833984209;Defeito inesperado: iPhone X começa a causar dor em seus usuários https://t.co/bsel3opNPD - ... causa queixas de usuários. Nomeadamente, surgiram informações sobre problemas com tela, reconhecimento facial (Face ID), entre outras falhas. Além disso, no fim do ano passado, a App…;2018-01-11 13:24:22+00:00;9,51E+17;pt;['951444675755495424'];[{'start': 66, 'end': 89, 'url': 'https://t.co/bsel3opNPD', 'expanded_url': 'http://ift.tt/2mqWqkG', 'display_url': 'ift.tt/2mqWqkG'}];[{'start': 20, 'end': 27, 'probability': 0.8382, 'type': 'Product', 'normalized_text': 'iPhone X'}, {'start': 207, 'end': 210, 'probability': 0.7162, 'type': 'Other', 'normalized_text': 'Face'}];0;0;0;0;0;0;;;;;;;;;;;Central do iOS;iOS_Zone;Tudo que ta rolando de novo para gadgets com sistema iOS. Dicas, Análises, APPS, diariamente!;833984209;False;BR;2012-09-19T19:27:29.000Z;4306;4402;34770;39;;;defeito inesperado iphone x começa a causar dor em seus usuários causa queixas de usuários nomeadamente surgiram informações sobre problemas com tela reconhecimento facial face id entre outras falhas além disso no fim do ano passado a app;negativo
9,51E+17;889659625;Mas será mesmo que preciso saber criar inteligência artificial para criar um #chatbot? #compartilhebots #desenvolvimento #bots #inteligenciaartificial https://t.co/oKrblncvj3 https://t.co/UAQ0dhW9lB;2018-01-11 14:10:48+00:00;9,51E+17;pt;['951456362332151808'];[{'start': 151, 'end': 174, 'url': 'https://t.co/oKrblncvj3', 'expanded_url': 'https://goo.gl/XemkLe', 'display_url': 'goo.gl/XemkLe'}, {'start': 175, 'end': 198, 'url': 'https://t.co/UAQ0dhW9lB', 'expanded_url': 'https://twitter.com/caio_caladoo/status/951456362332151808/photo/1', 'display_url': 'pic.twitter.com/UAQ0dhW9lB', 'media_key': '3_951456349153611776'}];;1;0;1;0;0;0;;;[{'start': 77, 'end': 85, 'tag': 'chatbot'}, {'start': 87, 'end': 103, 'tag': 'compartilhebots'}, {'start': 104, 'end': 120, 'tag': 'desenvolvimento'}, {'start': 121, 'end': 126, 'tag': 'bots'}, {'start': 127, 'end': 150, 'tag': 'inteligenciaartificial'}];;;;;;;;Caio Calado;caio_caladoo;“Talent is equally distributed but opportunity is not.” - Leila Janah;889659625;False;Sao Paulo, Brazil;2012-10-18T20:15:50.000Z;466;479;1116;40;;;mas será mesmo que preciso saber criar inteligência artificial para criar um chatbot;neutro
9,51E+17;906532771;#MaislidasBuzzmonitor Como um chatbot pode impulsionar sua estratégia de Marketing Digital? Descubra aqui: https://t.co/nMq9Nbv75i https://t.co/qOurjBZa2c;2018-01-10 20:00:14+00:00;9,51E+17;pt;['951181911380152320'];[{'start': 107, 'end': 130, 'url': 'https://t.co/nMq9Nbv75i', 'expanded_url': 'http://bit.ly/2ubzHPr', 'display_url': 'bit.ly/2ubzHPr'}, {'start': 131, 'end': 154, 'url': 'https://t.co/qOurjBZa2c', 'expanded_url': 'https://twitter.com/buzz_monitor/status/951181911380152320/photo/1', 'display_url': 'pic.twitter.com/qOurjBZa2c', 'media_key': '3_951181908511145984'}];;0;0;1;0;0;0;;;[{'start': 0, 'end': 21, 'tag': 'MaislidasBuzzmonitor'}];;;;;;;;Tami Buzzmonitor;buzzmonitor;"Um tamanduá Social Media 🧡

Converse comigo aqui nesse perfil (vale até fazer desabafos) ✌

#TamiJuntos

Conheça a Buzzmonitor 👇";906532771;False;Brasil;2012-10-26T18:29:01.000Z;1975;403;5024;25;;;maislidasbuzzmonitor como um chatbot pode impulsionar sua estratégia de marketing digital descubra aqui;positivo
9,51E+17;1103922018;Chatbot realiza 70% dos atendimentos do BB em rede social https://t.co/UBmUcpwG2j;2018-01-10 21:38:32+00:00;9,51E+17;pt;['951206649695473665'];[{'start': 58, 'end': 81, 'url': 'https://t.co/UBmUcpwG2j', 'expanded_url': 'https://canalexecutivoblog.wordpress.com/2018/01/10/chatbot-realiza-70-dos-atendimentos-do-bb-em-rede-social/', 'display_url': 'canalexecutivoblog.wordpress.com/2018/01/10/cha…'}];[{'start': 0, 'end': 6, 'probability': 0.3722, 'type': 'Organization', 'normalized_text': 'Chatbot'}, {'start': 40, 'end': 41, 'probability': 0.7632, 'type': 'Other', 'normalized_text': 'BB'}];0;0;0;0;0;0;;;;;;;;;;;Tatão de Souza/Canal Executivo Blog;TataodeSouza;Aqui falo para quem quer chegar lá;1103922018;False;São Paulo-Capital;2013-01-19T15:17:00.000Z;54;6;57340;1;;;chatbot realiza dos atendimentos do bb em rede social;neutro
1,06E+18;2632380562;"Nem só de reconhecimento de padrões vive as aplicações de IA...
Automatização de serviços, podem aperfeiçoar bastante os processos de uma organização... reduzindo os custos e aumentando a satisfação do cliente 😉 https://t.co/75eORQRSEU";2018-11-06 17:28:07+00:00;1,06E+18;pt;['1059859988758347776'];[{'start': 212, 'end': 235, 'url': 'https://t.co/75eORQRSEU', 'expanded_url': 'https://t.co/75eORQRSEU', 'display_url': 't.co/75eORQRSEU'}];;0;0;0;0;0;0;;;;;;;;;;;Jacko Faria ✞;jacko_braus;Bachelor of Business Administration + Graduate in Digital Transformation of Companies + MBA in IT Project Management 🇧🇷 + Diploma of IT Web Development 🇦🇺;2632380562;False;;2014-06-22T20:37:36.000Z;22;128;306;0;;;nem só de reconhecimento de padrões vive as aplicações de ia automatização de serviços podem aperfeiçoar bastante os processos de uma organização reduzindo os custos e aumentando a satisfação do cliente;positivo
9,51E+17;2691457525;O pesadelo da invasão de privacidade: até onde vai a tecnologia do reconhecimento facial? https://t.co/5DZW8EWECx;2018-01-11 01:50:38+00:00;9,51E+17;pt;['951270093673107456'];[{'start': 90, 'end': 113, 'url': 'https://t.co/5DZW8EWECx', 'expanded_url': 'https://fb.me/3eH3Ks8BQ', 'display_url': 'fb.me/3eH3Ks8BQ'}];;0;0;0;0;0;0;;;;;;;;;;;NOS Informática;nosinf;Soluções personalizadas em Tecnologia da Informação, soluções para Internet / Intranet em transferência de arquivos.;2691457525;False;Fortaleza-Ce (Brasil);2014-07-30T01:01:53.000Z;12;10;260;0;;;o pesadelo da invasão de privacidade até onde vai a tecnologia do reconhecimento facial;negativo
1,41E+18;2790564174;@csr_foxsystem @tomahock Deve haver um sistema avançado de monitorização por vídeo vigilância e reconhecimento facial.;2021-06-22 12:10:54+00:00;1,41E+18;pt;['1407310122972549122'];;;0;1;2;0;0;0;[{'type': 'replied_to', 'id': '1407309418123902977'}];[{'start': 15, 'end': 24, 'username': 'tomahock', 'id': '10101522'}];;;;;;;;;Edu;dvsk__;Dur dur d’etre bebe;2790564174;False;;2014-09-04T20:52:08.000Z;6035;650;127934;19;;;deve haver um sistema avançado de monitorização por vídeo vigilância e reconhecimento facial;neutro
9,51E+17;8,25E+17;Gostei de um vídeo @YouTube https://t.co/QKXzm7Hh2x Chatbot - Perguntas e Respostas por voz | Criando uma IA pelo;2018-01-10 18:46:50+00:00;9,51E+17;pt;['951163440881692672'];[{'start': 28, 'end': 51, 'url': 'https://t.co/QKXzm7Hh2x', 'expanded_url': 'http://youtu.be/RbmXdGLcxgU?aImplementando', 'display_url': 'youtu.be/RbmXdGLcxgU?aI…'}];[{'start': 52, 'end': 58, 'probability': 0.5706, 'type': 'Other', 'normalized_text': 'Chatbot'}];0;0;0;0;0;0;;[{'start': 19, 'end': 27, 'username': 'YouTube', 'id': '10228272'}];;;;;;;;;Christian SalcedoRuiz;Chris_Salcedoh;ola beninos e beninas tutu paumm? I'm Chris bem vindo ao meu perfil ❤️;8,25E+17;False;Dourados, Brasil;2017-01-28T13:57:43.000Z;29;54;868;0;;;gostei de um vídeo chatbot perguntas e respostas por voz criando uma ia pelo;positivo
9,52E+17;9,43E+17;"""O reconhecimento facial está chegando ao varejo."" O que preocupa, é que através de qualquer câmera da empresa que registrou nossa face é possível nos reconhecer e registrar tudo desde o momento que entrarmos no estabelecimento. Estão preparados para isso? https://t.co/hMrTzt4897";2018-01-12 13:32:35+00:00;9,52E+17;pt;['951809130783703040'];[{'start': 257, 'end': 280, 'url': 'https://t.co/hMrTzt4897', 'expanded_url': 'https://twitter.com/schneierblog/status/951795170378313728', 'display_url': 'twitter.com/schneierblog/s…'}];;0;0;0;0;0;0;[{'type': 'quoted', 'id': '951795170378313728'}];;;;;;;;;;LM1E IT Solutions;LM1EITSolutions;Consultoria em TI. Te ajudamos a definir, implementar e gerenciar a solução que melhor vai te atender. Conte conosco! https://t.co/idKiOmXpvH;9,43E+17;False;São Paulo, Brasil;2017-12-18T17:09:35.000Z;50;141;299;0;;;o reconhecimento facial está chegando ao varejo o que preocupa é que através de qualquer câmera da empresa que registrou nossa face é possível nos reconhecer e registrar tudo desde o momento que entrarmos no estabelecimento estão preparados para isso;negativo
1,61E+18;1,28E+18;Será que o ChatGPT vai substituir o Google? #chatGPT #AI #Google #LLM #LAMDA #Search https://t.co/fVUzx8ImjB;2022-12-27 15:05:02+00:00;1,61E+18;pt;['1607754433517228038'];[{'start': 85, 'end': 108, 'url': 'https://t.co/fVUzx8ImjB', 'expanded_url': 'https://twitter.com/SFAInvest/status/1607754433517228038/video/1', 'display_url': 'pic.twitter.com/fVUzx8ImjB', 'media_key': '7_1607754302168223744'}];[{'start': 11, 'end': 17, 'probability': 0.7921, 'type': 'Other', 'normalized_text': 'ChatGPT'}, {'start': 36, 'end': 41, 'probability': 0.9259, 'type': 'Organization', 'normalized_text': 'Google'}, {'start': 45, 'end': 51, 'probability': 0.7596, 'type': 'Other', 'normalized_text': 'chatGPT'}, {'start': 54, 'end': 55, 'probability': 0.7358, 'type': 'Organization', 'normalized_text': 'AI'}, {'start': 58, 'end': 63, 'probability': 0.9547, 'type': 'Organization', 'normalized_text': 'Google'}, {'start': 66, 'end': 68, 'probability': 0.614, 'type': 'Other', 'normalized_text': 'LLM'}, {'start': 71, 'end': 75, 'probability': 0.7608, 'type': 'Other', 'normalized_text': 'LAMDA'}];0;1;7;1;1;775;;;[{'start': 44, 'end': 52, 'tag': 'chatGPT'}, {'start': 53, 'end': 56, 'tag': 'AI'}, {'start': 57, 'end': 64, 'tag': 'Google'}, {'start': 65, 'end': 69, 'tag': 'LLM'}, {'start': 70, 'end': 76, 'tag': 'LAMDA'}, {'start': 77, 'end': 84, 'tag': 'Search'}];;;;;;;;SFA Investimentos;SFAInvest;Seeking for Alpha - Gestora de Recursos;1,28E+18;False;São Paulo;2020-06-23T21:03:59.000Z;516;1;718;8;;;será que o chatgpt vai substituir o google;neutro
